smiles,IC50
Oc1cc(-c2ncc3c(nc(nc3c2F)N2CCC2)N2CC3CCC(C2)N3)c2ccccc2c1,684.3
CN(C)C1CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,28.8
OC[C@@H]1CCN1c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,204.2
CN(C)C1CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,3265.3
CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(cc2n1)-c1cccc2cccc(Cl)c12,754.4
CC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,8.6
CC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,667.5
CCC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,9.9
CN(C)C1(C)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,250.9
CCC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,500.6
Fc1c(ncc2c(nc(OCCC3CC(F)(F)C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,4092.5
Fc1c(ncc2c(nc(nc12)N1CC2(CCN2)C1)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,1647
CN1CC(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)CC1=O,423.9
CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,60.5
CC1CCCc2cccc(-c3ncc4c(nc(OC[C@@H]5CCCN5C)nc4c3F)N3CC4CCC(C3)N4)c12,48.8
