ID1,ID2,SMILES1,SMILES2,SimilarityScore,Target1,Target2,abs_log10,threshold_1.5,mean
US_286,US_289,C[C@@H]1C[C@@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,C[C@H]1C[C@@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,1,17.2,218.4,1.103724187,0,117.8
US_181,paper_16,Oc1cc(-c2ncc3c(ncnc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C([H])N=C4N5C[C@@H](CC6)N[C@@H]6C5,1,572.5,2960,0.71351622,0,1766.25
US_482,paper_1,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@@]23CCCN3C[C@H](C2)F)C(=C(N=C1)C1=CC(=CC2=CC=C(C(=C12)C#C)F)O)F,FC1=C(C2=C(C(C#C)=C(F)C=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@]56N(C[C@H](F)C6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,2,2,0,0,2
US_234,paper_27,Fc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,FC1=C(C2=C(C(F)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,5.9,12,0.308329234,0,8.95
US_34,US_149,CO[C@@H]1C[C@@H](COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)N(C)C1,CO[C@H]1CC(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)N(C)C1,1,135.4,869.5,0.807650922,0,502.45
US_36,paper_37,Oc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2c(Cl)cccc2c1,FC1=C(C2=C(C(Cl)=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,0.4,2,0.698970004,0,1.2
US_327,paper_24,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@@]56N(C[C@@H](F)C6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,1.9,2,0.022276395,0,1.95
US_216,US_326,Oc1cc(-c2ncc3c(nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,Oc1cc(-c2ncc3c(nc(OC[C@]45CCCN4C[C@@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,1,0.9,1.9,0.324511092,0,1.4
US_236,paper_31,COc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,FC1=C(C2=C(C(OC)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,25,86,0.536558443,0,55.5
US_216,US_327,Oc1cc(-c2ncc3c(nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,1,0.9,1.9,0.324511092,0,1.4
US_185,paper_38,Oc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2c(cccc2c1)C#C,FC1=C(C2=C(C(C#C)=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,0.3,2,0.823908741,0,1.15
US_2,paper_15,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6C[C@@H](CC7)N[C@@H]7C6,1,2.7,5,0.26760624,0,3.85
US_251,US_330,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2c(Cl)cccc2c1,Oc1cc(-c2ncc3c(nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2c(Cl)cccc2c1,1,0.2,2.5,1.096910013,0,1.35
US_334,paper_29,Cc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,FC1=C(C2=C(C(C)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,10,45,0.653212514,0,27.5
US_287,US_288,C[C@H]1C[C@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,C[C@@H]1C[C@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,1,90.7,589.5,0.812876522,0,340.1
US_452,US_467,C[C@@H]1C[C@H]1c1c(Cl)cc(O)cc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C=1C=C(C=C(C1[C@@H]1[C@@H](C1)C)Cl)O)F,1,1,2,0.301029996,0,1.5
US_109,paper_21,Oc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,0.5,2,0.602059991,0,1.25
